,team,total_num_games,opponent,result_metric,num_games,pct_of_points
76,Bari,76.0,Napoli,1.0,4.0,8.333333333333332
77,Bari,76.0,Palermo,5.0,4.0,41.66666666666667
78,Bari,76.0,Parma,4.0,4.0,33.33333333333333
79,Bari,76.0,Roma,0.0,4.0,0.0
80,Bari,76.0,Sampdoria,4.0,4.0,33.33333333333333
81,Bari,76.0,Siena,3.0,2.0,50.0
82,Bari,76.0,Udinese,4.0,4.0,33.33333333333333
83,Benevento,76.0,Atalanta,0.0,4.0,0.0
84,Benevento,76.0,Bologna,4.0,4.0,33.33333333333333
85,Benevento,76.0,Cagliari,3.0,4.0,25.0
86,Benevento,76.0,Chievo,3.0,2.0,50.0
87,Benevento,76.0,Crotone,4.0,4.0,33.33333333333333
88,Benevento,76.0,Fiorentina,3.0,4.0,25.0
89,Benevento,76.0,Genoa,7.0,4.0,58.333333333333336
90,Benevento,76.0,Inter,0.0,4.0,0.0
91,Benevento,76.0,Juventus,4.0,4.0,33.33333333333333
92,Benevento,76.0,Lazio,1.0,4.0,8.333333333333332
93,Benevento,76.0,Milan,4.0,4.0,33.33333333333333
94,Benevento,76.0,Napoli,0.0,4.0,0.0
95,Benevento,76.0,Parma,2.0,2.0,33.33333333333333
96,Benevento,76.0,Roma,1.0,4.0,8.333333333333332
97,Benevento,76.0,Sampdoria,7.0,4.0,58.333333333333336
98,Benevento,76.0,Sassuolo,1.0,4.0,8.333333333333332
99,Benevento,76.0,Spal,0.0,2.0,0.0
100,Benevento,76.0,Spezia,1.0,2.0,16.666666666666664
101,Benevento,76.0,Torino,2.0,4.0,16.666666666666664
102,Benevento,76.0,Udinese,4.0,4.0,33.33333333333333
103,Benevento,76.0,Verona,3.0,4.0,25.0
104,Bologna,494.0,Atalanta,20.0,24.0,27.77777777777778
105,Bologna,494.0,Bari,7.0,4.0,58.333333333333336
106,Bologna,494.0,Benevento,7.0,4.0,58.333333333333336
107,Bologna,494.0,Brescia,9.0,4.0,75.0
108,Bologna,494.0,Cagliari,31.0,24.0,43.05555555555556
109,Bologna,494.0,Carpi,4.0,2.0,66.66666666666666
110,Bologna,494.0,Catania,20.0,12.0,55.55555555555556
111,Bologna,494.0,Cesena,4.0,4.0,33.33333333333333
112,Bologna,494.0,Chievo,26.0,20.0,43.333333333333336
113,Bologna,494.0,Crotone,12.0,6.0,66.66666666666666
114,Bologna,494.0,Empoli,6.0,8.0,25.0
115,Bologna,494.0,Fiorentina,18.0,26.0,23.076923076923077
116,Bologna,494.0,Frosinone,4.0,4.0,33.33333333333333
117,Bologna,494.0,Genoa,35.0,26.0,44.871794871794876
118,Bologna,494.0,Inter,20.0,26.0,25.64102564102564
119,Bologna,494.0,Juventus,9.0,26.0,11.538461538461538
120,Bologna,494.0,Lazio,23.0,26.0,29.48717948717949
121,Bologna,494.0,Lecce,17.0,8.0,70.83333333333334
122,Bologna,494.0,Livorno,9.0,4.0,75.0
123,Bologna,494.0,Milan,12.0,26.0,15.384615384615385
124,Bologna,494.0,Napoli,22.0,26.0,28.205128205128204
125,Bologna,494.0,Novara,6.0,2.0,100.0
126,Bologna,494.0,Palermo,16.0,14.0,38.095238095238095
127,Bologna,494.0,Parma,23.0,16.0,47.91666666666667
128,Bologna,494.0,Pescara,10.0,4.0,83.33333333333334
129,Bologna,494.0,Reggina,1.0,2.0,16.666666666666664
130,Bologna,494.0,Roma,20.0,26.0,25.64102564102564
131,Bologna,494.0,Salernitana,4.0,2.0,66.66666666666666
132,Bologna,494.0,Sampdoria,38.0,24.0,52.77777777777778
133,Bologna,494.0,Sassuolo,22.0,16.0,45.83333333333333
134,Bologna,494.0,Siena,9.0,8.0,37.5
135,Bologna,494.0,Spal,10.0,6.0,55.55555555555556
136,Bologna,494.0,Spezia,10.0,4.0,83.33333333333334
137,Bologna,494.0,Torino,20.0,20.0,33.33333333333333
138,Bologna,494.0,Udinese,25.0,26.0,32.05128205128205
139,Bologna,494.0,Venezia,0.0,2.0,0.0
140,Bologna,494.0,Verona,19.0,12.0,52.77777777777778
141,Brescia,76.0,Atalanta,0.0,2.0,0.0
142,Brescia,76.0,Bari,3.0,2.0,50.0
143,Brescia,76.0,Bologna,3.0,4.0,25.0
144,Brescia,76.0,Cagliari,5.0,4.0,41.66666666666667
145,Brescia,76.0,Catania,0.0,2.0,0.0
146,Brescia,76.0,Cesena,0.0,2.0,0.0
147,Brescia,76.0,Chievo,3.0,2.0,50.0
148,Brescia,76.0,Fiorentina,3.0,4.0,25.0
149,Brescia,76.0,Genoa,2.0,4.0,16.666666666666664
150,Brescia,76.0,Inter,2.0,4.0,16.666666666666664
151,Brescia,76.0,Juventus,1.0,4.0,8.333333333333332
152,Brescia,76.0,Lazio,0.0,4.0,0.0
153,Brescia,76.0,Lecce,4.0,4.0,33.33333333333333
154,Brescia,76.0,Milan,0.0,4.0,0.0
155,Brescia,76.0,Napoli,1.0,4.0,8.333333333333332
156,Brescia,76.0,Palermo,3.0,2.0,50.0
157,Brescia,76.0,Parma,4.0,4.0,33.33333333333333
158,Brescia,76.0,Roma,4.0,4.0,33.33333333333333
159,Brescia,76.0,Sampdoria,5.0,4.0,41.66666666666667
160,Brescia,76.0,Sassuolo,0.0,2.0,0.0
161,Brescia,76.0,Spal,6.0,2.0,100.0
162,Brescia,76.0,Torino,0.0,2.0,0.0
163,Brescia,76.0,Udinese,5.0,4.0,41.66666666666667
164,Brescia,76.0,Verona,3.0,2.0,50.0
165,Cagliari,608.0,Ascoli,7.0,4.0,58.333333333333336
166,Cagliari,608.0,Atalanta,37.0,28.0,44.047619047619044
167,Cagliari,608.0,Bari,10.0,4.0,83.33333333333334
168,Cagliari,608.0,Benevento,9.0,4.0,75.0
169,Cagliari,608.0,Bologna,34.0,24.0,47.22222222222222
170,Cagliari,608.0,Brescia,5.0,4.0,41.66666666666667
171,Cagliari,608.0,Catania,23.0,16.0,47.91666666666667
172,Cagliari,608.0,Cesena,10.0,6.0,55.55555555555556
173,Cagliari,608.0,Chievo,22.0,24.0,30.555555555555557
174,Cagliari,608.0,Crotone,16.0,6.0,88.88888888888889
175,Cagliari,608.0,Empoli,16.0,14.0,38.095238095238095
176,Cagliari,608.0,Fiorentina,33.0,32.0,34.375
177,Cagliari,608.0,Frosinone,4.0,2.0,66.66666666666666
178,Cagliari,608.0,Genoa,32.0,28.0,38.095238095238095
179,Cagliari,608.0,Inter,23.0,32.0,23.958333333333336
180,Cagliari,608.0,Juventus,14.0,30.0,15.555555555555555
181,Cagliari,608.0,Lazio,21.0,32.0,21.875
182,Cagliari,608.0,Lecce,13.0,10.0,43.333333333333336
183,Cagliari,608.0,Livorno,14.0,10.0,46.666666666666664
184,Cagliari,608.0,Messina,5.0,4.0,41.66666666666667
185,Cagliari,608.0,Milan,9.0,32.0,9.375
186,Cagliari,608.0,Napoli,20.0,28.0,23.809523809523807
187,Cagliari,608.0,Novara,4.0,2.0,66.66666666666666
188,Cagliari,608.0,Palermo,27.0,20.0,45.0
189,Cagliari,608.0,Parma,36.0,24.0,50.0
190,Cagliari,608.0,Pescara,7.0,4.0,58.333333333333336
191,Cagliari,608.0,Reggina,2.0,8.0,8.333333333333332
192,Cagliari,608.0,Roma,26.0,32.0,27.083333333333332
193,Cagliari,608.0,Salernitana,2.0,2.0,33.33333333333333
194,Cagliari,608.0,Sampdoria,48.0,30.0,53.333333333333336
195,Cagliari,608.0,Sassuolo,19.0,16.0,39.58333333333333
196,Cagliari,608.0,Siena,17.0,14.0,40.476190476190474
197,Cagliari,608.0,Spal,16.0,6.0,88.88888888888889
198,Cagliari,608.0,Spezia,2.0,4.0,16.666666666666664
199,Cagliari,608.0,Torino,31.0,24.0,43.05555555555556
200,Cagliari,608.0,Treviso,4.0,2.0,66.66666666666666
201,Cagliari,608.0,Udinese,36.0,32.0,37.5
202,Cagliari,608.0,Venezia,2.0,2.0,33.33333333333333
203,Cagliari,608.0,Verona,9.0,12.0,25.0
204,Carpi,38.0,Atalanta,1.0,2.0,16.666666666666664
205,Carpi,38.0,Bologna,1.0,2.0,16.666666666666664
206,Carpi,38.0,Chievo,0.0,2.0,0.0
207,Carpi,38.0,Empoli,3.0,2.0,50.0
208,Carpi,38.0,Fiorentina,0.0,2.0,0.0
209,Carpi,38.0,Frosinone,3.0,2.0,50.0
210,Carpi,38.0,Genoa,6.0,2.0,100.0
211,Carpi,38.0,Inter,1.0,2.0,16.666666666666664
212,Carpi,38.0,Juventus,0.0,2.0,0.0
213,Carpi,38.0,Lazio,1.0,2.0,16.666666666666664
214,Carpi,38.0,Milan,2.0,2.0,33.33333333333333
215,Carpi,38.0,Napoli,1.0,2.0,16.666666666666664
216,Carpi,38.0,Palermo,2.0,2.0,33.33333333333333
217,Carpi,38.0,Roma,0.0,2.0,0.0
218,Carpi,38.0,Sampdoria,3.0,2.0,50.0
219,Carpi,38.0,Sassuolo,0.0,2.0,0.0
220,Carpi,38.0,Torino,4.0,2.0,66.66666666666666
221,Carpi,38.0,Udinese,6.0,2.0,100.0
222,Carpi,38.0,Verona,4.0,2.0,66.66666666666666
223,Catania,304.0,Ascoli,2.0,2.0,33.33333333333333
224,Catania,304.0,Atalanta,19.0,14.0,45.23809523809524
225,Catania,304.0,Bari,8.0,4.0,66.66666666666666
226,Catania,304.0,Bologna,14.0,12.0,38.88888888888889
227,Catania,304.0,Brescia,6.0,2.0,100.0
228,Catania,304.0,Cagliari,20.0,16.0,41.66666666666667
229,Catania,304.0,Cesena,8.0,4.0,66.66666666666666
230,Catania,304.0,Chievo,16.0,14.0,38.095238095238095
231,Catania,304.0,Empoli,6.0,4.0,50.0
232,Catania,304.0,Fiorentina,11.0,16.0,22.916666666666664
233,Catania,304.0,Genoa,21.0,14.0,50.0
234,Catania,304.0,Inter,8.0,16.0,16.666666666666664
235,Catania,304.0,Juventus,9.0,14.0,21.428571428571427
236,Catania,304.0,Lazio,24.0,16.0,50.0
237,Catania,304.0,Lecce,7.0,6.0,38.88888888888889
238,Catania,304.0,Livorno,7.0,8.0,29.166666666666668
239,Catania,304.0,Messina,2.0,2.0,33.33333333333333
240,Catania,304.0,Milan,6.0,16.0,12.5
241,Catania,304.0,Napoli,13.0,14.0,30.952380952380953
242,Catania,304.0,Novara,4.0,2.0,66.66666666666666
243,Catania,304.0,Palermo,21.0,14.0,50.0
244,Catania,304.0,Parma,22.0,14.0,52.38095238095239
245,Catania,304.0,Pescara,3.0,2.0,50.0
246,Catania,304.0,Reggina,7.0,6.0,38.88888888888889
247,Catania,304.0,Roma,17.0,16.0,35.41666666666667
248,Catania,304.0,Sampdoria,21.0,14.0,50.0
249,Catania,304.0,Sassuolo,1.0,2.0,16.666666666666664
250,Catania,304.0,Siena,16.0,12.0,44.44444444444444
251,Catania,304.0,Torino,7.0,10.0,23.333333333333332
252,Catania,304.0,Udinese,21.0,16.0,43.75
253,Catania,304.0,Verona,1.0,2.0,16.666666666666664
254,Cesena,114.0,Atalanta,1.0,4.0,8.333333333333332
255,Cesena,114.0,Bari,4.0,2.0,66.66666666666666
256,Cesena,114.0,Bologna,7.0,4.0,58.333333333333336
257,Cesena,114.0,Brescia,6.0,2.0,100.0
258,Cesena,114.0,Cagliari,7.0,6.0,38.88888888888889
259,Cesena,114.0,Catania,2.0,4.0,16.666666666666664
260,Cesena,114.0,Chievo,4.0,6.0,22.22222222222222
261,Cesena,114.0,Empoli,1.0,2.0,16.666666666666664
262,Cesena,114.0,Fiorentina,2.0,6.0,11.11111111111111
263,Cesena,114.0,Genoa,5.0,6.0,27.77777777777778
264,Cesena,114.0,Inter,1.0,6.0,5.555555555555555
265,Cesena,114.0,Juventus,2.0,6.0,11.11111111111111
266,Cesena,114.0,Lazio,6.0,6.0,33.33333333333333
267,Cesena,114.0,Lecce,5.0,4.0,41.66666666666667
268,Cesena,114.0,Milan,4.0,6.0,22.22222222222222
269,Cesena,114.0,Napoli,1.0,6.0,5.555555555555555
270,Cesena,114.0,Novara,3.0,2.0,50.0
271,Cesena,114.0,Palermo,6.0,6.0,33.33333333333333
272,Cesena,114.0,Parma,9.0,6.0,50.0
273,Cesena,114.0,Roma,1.0,6.0,5.555555555555555
274,Cesena,114.0,Sampdoria,5.0,4.0,41.66666666666667
275,Cesena,114.0,Sassuolo,1.0,2.0,16.666666666666664
276,Cesena,114.0,Siena,0.0,2.0,0.0
277,Cesena,114.0,Torino,0.0,2.0,0.0
278,Cesena,114.0,Udinese,4.0,6.0,22.22222222222222
279,Cesena,114.0,Verona,2.0,2.0,33.33333333333333
280,Chievo,494.0,Ascoli,5.0,4.0,41.66666666666667
281,Chievo,494.0,Atalanta,21.0,22.0,31.818181818181817
282,Chievo,494.0,Bari,4.0,4.0,33.33333333333333
283,Chievo,494.0,Benevento,3.0,2.0,50.0
284,Chievo,494.0,Bologna,26.0,20.0,43.333333333333336
285,Chievo,494.0,Brescia,3.0,2.0,50.0
286,Chievo,494.0,Cagliari,43.0,24.0,59.72222222222222
287,Chievo,494.0,Carpi,6.0,2.0,100.0
288,Chievo,494.0,Catania,22.0,14.0,52.38095238095239
289,Chievo,494.0,Cesena,13.0,6.0,72.22222222222221
290,Chievo,494.0,Crotone,3.0,4.0,25.0
291,Chievo,494.0,Empoli,14.0,12.0,38.88888888888889
292,Chievo,494.0,Fiorentina,17.0,26.0,21.794871794871796
293,Chievo,494.0,Frosinone,10.0,4.0,83.33333333333334
294,Chievo,494.0,Genoa,32.0,22.0,48.484848484848484
295,Chievo,494.0,Inter,13.0,26.0,16.666666666666664
296,Chievo,494.0,Juventus,10.0,24.0,13.88888888888889
297,Chievo,494.0,Lazio,25.0,26.0,32.05128205128205
298,Chievo,494.0,Lecce,12.0,8.0,50.0
299,Chievo,494.0,Livorno,22.0,8.0,91.66666666666666
300,Chievo,494.0,Messina,4.0,4.0,33.33333333333333
301,Chievo,494.0,Milan,6.0,26.0,7.6923076923076925
302,Chievo,494.0,Napoli,21.0,22.0,31.818181818181817
303,Chievo,494.0,Novara,4.0,2.0,66.66666666666666
304,Chievo,494.0,Palermo,28.0,20.0,46.666666666666664
305,Chievo,494.0,Parma,17.0,18.0,31.48148148148148
306,Chievo,494.0,Pescara,12.0,4.0,100.0
307,Chievo,494.0,Reggina,16.0,6.0,88.88888888888889
308,Chievo,494.0,Roma,16.0,26.0,20.51282051282051
309,Chievo,494.0,Sampdoria,27.0,24.0,37.5
310,Chievo,494.0,Sassuolo,14.0,12.0,38.88888888888889
311,Chievo,494.0,Siena,15.0,12.0,41.66666666666667
312,Chievo,494.0,Spal,5.0,4.0,41.66666666666667
313,Chievo,494.0,Torino,15.0,18.0,27.77777777777778
314,Chievo,494.0,Treviso,4.0,2.0,66.66666666666666
315,Chievo,494.0,Udinese,28.0,26.0,35.8974358974359
316,Chievo,494.0,Verona,11.0,8.0,45.83333333333333
317,Crotone,114.0,Atalanta,1.0,6.0,5.555555555555555
318,Crotone,114.0,Benevento,7.0,4.0,58.333333333333336
319,Crotone,114.0,Bologna,6.0,6.0,33.33333333333333
320,Crotone,114.0,Cagliari,1.0,6.0,5.555555555555555
321,Crotone,114.0,Chievo,9.0,4.0,75.0
322,Crotone,114.0,Empoli,3.0,2.0,50.0
323,Crotone,114.0,Fiorentina,5.0,6.0,27.77777777777778
324,Crotone,114.0,Genoa,1.0,6.0,5.555555555555555
325,Crotone,114.0,Inter,4.0,6.0,22.22222222222222
326,Crotone,114.0,Juventus,2.0,6.0,11.11111111111111
327,Crotone,114.0,Lazio,4.0,6.0,22.22222222222222
328,Crotone,114.0,Milan,1.0,6.0,5.555555555555555
329,Crotone,114.0,Napoli,0.0,6.0,0.0
330,Crotone,114.0,Palermo,1.0,2.0,16.666666666666664
331,Crotone,114.0,Parma,6.0,2.0,100.0
332,Crotone,114.0,Pescara,6.0,2.0,100.0
333,Crotone,114.0,Roma,0.0,6.0,0.0
334,Crotone,114.0,Sampdoria,7.0,6.0,38.88888888888889
335,Crotone,114.0,Sassuolo,4.0,6.0,22.22222222222222
336,Crotone,114.0,Spal,1.0,2.0,16.666666666666664
337,Crotone,114.0,Spezia,3.0,2.0,50.0
338,Crotone,114.0,Torino,6.0,6.0,33.33333333333333
339,Crotone,114.0,Udinese,7.0,6.0,38.88888888888889
340,Crotone,114.0,Verona,7.0,4.0,58.333333333333336
341,Empoli,304.0,Ascoli,6.0,4.0,50.0
342,Empoli,304.0,Atalanta,14.0,14.0,33.33333333333333
343,Empoli,304.0,Bologna,15.0,8.0,62.5
344,Empoli,304.0,Cagliari,22.0,14.0,52.38095238095239
345,Empoli,304.0,Carpi,3.0,2.0,50.0
346,Empoli,304.0,Catania,6.0,4.0,50.0
347,Empoli,304.0,Cesena,4.0,2.0,66.66666666666666
348,Empoli,304.0,Chievo,14.0,12.0,38.88888888888889
349,Empoli,304.0,Crotone,3.0,2.0,50.0
350,Empoli,304.0,Fiorentina,15.0,16.0,31.25
351,Empoli,304.0,Frosinone,4.0,4.0,33.33333333333333
352,Empoli,304.0,Genoa,12.0,12.0,33.33333333333333
353,Empoli,304.0,Inter,4.0,16.0,8.333333333333332
354,Empoli,304.0,Juventus,4.0,14.0,9.523809523809524
355,Empoli,304.0,Lazio,13.0,16.0,27.083333333333332
356,Empoli,304.0,Lecce,6.0,2.0,100.0
357,Empoli,304.0,Livorno,8.0,6.0,44.44444444444444
358,Empoli,304.0,Messina,7.0,4.0,58.333333333333336
359,Empoli,304.0,Milan,11.0,16.0,22.916666666666664
360,Empoli,304.0,Napoli,18.0,12.0,50.0
361,Empoli,304.0,Palermo,21.0,12.0,58.333333333333336
362,Empoli,304.0,Parma,9.0,10.0,30.0
363,Empoli,304.0,Pescara,4.0,2.0,66.66666666666666
364,Empoli,304.0,Reggina,8.0,6.0,44.44444444444444
365,Empoli,304.0,Roma,9.0,16.0,18.75
366,Empoli,304.0,Salernitana,4.0,2.0,66.66666666666666
367,Empoli,304.0,Sampdoria,16.0,16.0,33.33333333333333
368,Empoli,304.0,Sassuolo,12.0,10.0,40.0
369,Empoli,304.0,Siena,6.0,6.0,33.33333333333333
370,Empoli,304.0,Spal,1.0,2.0,16.666666666666664
371,Empoli,304.0,Spezia,2.0,2.0,33.33333333333333
372,Empoli,304.0,Torino,21.0,14.0,50.0
373,Empoli,304.0,Treviso,4.0,2.0,66.66666666666666
374,Empoli,304.0,Udinese,19.0,16.0,39.58333333333333
375,Empoli,304.0,Venezia,1.0,2.0,16.666666666666664
376,Empoli,304.0,Verona,8.0,6.0,44.44444444444444
377,Fiorentina,646.0,Ascoli,10.0,4.0,83.33333333333334
378,Fiorentina,646.0,Atalanta,54.0,30.0,60.0
379,Fiorentina,646.0,Bari,7.0,4.0,58.333333333333336
380,Fiorentina,646.0,Benevento,9.0,4.0,75.0
381,Fiorentina,646.0,Bologna,51.0,26.0,65.38461538461539
382,Fiorentina,646.0,Brescia,6.0,4.0,50.0
383,Fiorentina,646.0,Cagliari,54.0,32.0,56.25
384,Fiorentina,646.0,Carpi,6.0,2.0,100.0
385,Fiorentina,646.0,Catania,35.0,16.0,72.91666666666666
386,Fiorentina,646.0,Cesena,14.0,6.0,77.77777777777779
387,Fiorentina,646.0,Chievo,59.0,26.0,75.64102564102564
388,Fiorentina,646.0,Crotone,11.0,6.0,61.111111111111114
389,Fiorentina,646.0,Empoli,30.0,16.0,62.5
390,Fiorentina,646.0,Frosinone,5.0,4.0,41.66666666666667
391,Fiorentina,646.0,Genoa,51.0,30.0,56.666666666666664
392,Fiorentina,646.0,Inter,29.0,34.0,28.431372549019606
393,Fiorentina,646.0,Juventus,25.0,32.0,26.041666666666668
394,Fiorentina,646.0,Lazio,35.0,34.0,34.31372549019608
395,Fiorentina,646.0,Lecce,14.0,10.0,46.666666666666664
396,Fiorentina,646.0,Livorno,24.0,10.0,80.0
397,Fiorentina,646.0,Messina,8.0,4.0,66.66666666666666
398,Fiorentina,646.0,Milan,36.0,34.0,35.294117647058826
399,Fiorentina,646.0,Napoli,29.0,30.0,32.22222222222222
400,Fiorentina,646.0,Novara,4.0,2.0,66.66666666666666
401,Fiorentina,646.0,Palermo,36.0,22.0,54.54545454545454
402,Fiorentina,646.0,Parma,39.0,24.0,54.166666666666664
403,Fiorentina,646.0,Pescara,7.0,4.0,58.333333333333336
404,Fiorentina,646.0,Reggina,16.0,8.0,66.66666666666666
405,Fiorentina,646.0,Roma,26.0,34.0,25.49019607843137
406,Fiorentina,646.0,Salernitana,3.0,2.0,50.0
407,Fiorentina,646.0,Sampdoria,47.0,32.0,48.95833333333333
408,Fiorentina,646.0,Sassuolo,24.0,18.0,44.44444444444444
409,Fiorentina,646.0,Siena,30.0,14.0,71.42857142857143
410,Fiorentina,646.0,Spal,14.0,6.0,77.77777777777779
411,Fiorentina,646.0,Spezia,10.0,4.0,83.33333333333334
412,Fiorentina,646.0,Torino,48.0,26.0,61.53846153846154
413,Fiorentina,646.0,Treviso,6.0,2.0,100.0
414,Fiorentina,646.0,Udinese,59.0,34.0,57.84313725490197
415,Fiorentina,646.0,Venezia,3.0,2.0,50.0
416,Fiorentina,646.0,Verona,23.0,14.0,54.761904761904766
417,Frosinone,76.0,Atalanta,1.0,4.0,8.333333333333332
418,Frosinone,76.0,Bologna,7.0,4.0,58.333333333333336
419,Frosinone,76.0,Cagliari,1.0,2.0,16.666666666666664
420,Frosinone,76.0,Carpi,3.0,2.0,50.0
421,Frosinone,76.0,Chievo,1.0,4.0,8.333333333333332
422,Frosinone,76.0,Empoli,7.0,4.0,58.333333333333336
423,Frosinone,76.0,Fiorentina,5.0,4.0,41.66666666666667
424,Frosinone,76.0,Genoa,2.0,4.0,16.666666666666664
425,Frosinone,76.0,Inter,0.0,4.0,0.0
426,Frosinone,76.0,Juventus,1.0,4.0,8.333333333333332
427,Frosinone,76.0,Lazio,1.0,4.0,8.333333333333332
428,Frosinone,76.0,Milan,2.0,4.0,16.666666666666664
429,Frosinone,76.0,Napoli,0.0,4.0,0.0
430,Frosinone,76.0,Palermo,0.0,2.0,0.0
431,Frosinone,76.0,Parma,4.0,2.0,66.66666666666666
432,Frosinone,76.0,Roma,0.0,4.0,0.0
433,Frosinone,76.0,Sampdoria,6.0,4.0,50.0
434,Frosinone,76.0,Sassuolo,2.0,4.0,16.666666666666664
435,Frosinone,76.0,Spal,3.0,2.0,50.0
436,Frosinone,76.0,Torino,0.0,4.0,0.0
437,Frosinone,76.0,Udinese,4.0,4.0,33.33333333333333
438,Frosinone,76.0,Verona,6.0,2.0,100.0
439,Genoa,570.0,Atalanta,32.0,28.0,38.095238095238095
440,Genoa,570.0,Bari,5.0,4.0,41.66666666666667
441,Genoa,570.0,Benevento,4.0,4.0,33.33333333333333
442,Genoa,570.0,Bologna,35.0,26.0,44.871794871794876
443,Genoa,570.0,Brescia,8.0,4.0,66.66666666666666
444,Genoa,570.0,Cagliari,50.0,28.0,59.523809523809526
445,Genoa,570.0,Carpi,0.0,2.0,0.0
